"","wojewodztwa","Longitude","Latitude","licz_biologia_podstawowa","licz_chemia_podstawowa","licz_fizyka_podstawowa","licz_geografia_podstawowa","licz_historia_podstawowa","licz_informatyka_podstawowa","licz_j_angielski_podstawowa","licz_j_polski_podstawowa","licz_matematyka_podstawowa","licz_WOS_podstawowa","licz_biologia_rozszerzona","licz_chemia_rozszerzona","licz_fizyka_rozszerzona","licz_geografia_rozszerzona","licz_historia_rozszerzona","licz_informatyka_rozszerzona","licz_j_angielski_rozszerzona","licz_j_polski_rozszerzona","licz_matematyka_rozszerzona","licz_WOS_rozszerzona","sr_biologia_podstawowa","sr_chemia_podstawowa","sr_fizyka_podstawowa","sr_geografia_podstawowa","sr_historia_podstawowa","sr_informatyka_podstawowa","sr_j_angielski_podstawowa","sr_j_polski_podstawowa","sr_matematyka_podstawowa","sr_WOS_podstawowa","sr_biologia_rozszerzona","sr_chemia_rozszerzona","sr_fizyka_rozszerzona","sr_geografia_rozszerzona","sr_historia_rozszerzona","sr_informatyka_rozszerzona","sr_j_angielski_rozszerzona","sr_j_polski_rozszerzona","sr_matematyka_rozszerzona","sr_WOS_rozszerzona","maturzysci","rok"
"50","kujawsko-pomorskie",465842.300547998,578593.47460022,7182,2198,3324,10745,2664,902,70778,83178,83083,7217,6966,4874,2123,5212,1253,746,14402,6261,9729,2814,47.2881376016874,43.6333030027298,37.6323706377858,41.2007564131758,55.4797221463888,53.3835920177384,68.137092639763,51.9497586744936,58.4452415054825,49.1289773849569,46.4644942099722,57.8785391875256,52.1918668550793,51.3075594781274,58.6033519553073,58.9912868632708,68.1256075545063,54.7549040960637,58.8516805427074,43.1421464108031,83178,2013
"51","lubelskie",772477.095961581,379460.89267258,7110,2433,4749,15250,2435,637,88848,101132,101083,11911,9641,6789,4387,12348,2444,383,24152,10378,19370,8010,43.4413621809259,41.2240032881217,36.4556748789219,38.068085106383,52.0382469458445,41.0643642072214,67.8009933038585,53.2849094199606,58.3781249072544,43.6871334739745,48.2387719116274,58.0478224578976,49.7230453612947,45.7622017060793,55.0392798690671,50.5417754569191,66.0991222259026,57.0133061195886,56.5098606091895,42.0074906367041,101132,2013
"52","lubuskie",250102.573357138,487061.730677329,3385,1090,2653,4943,1115,356,25589,36873,36797,3630,3360,2406,1385,2982,910,195,6866,3228,4890,1630,46.033501995663,42.6201834862385,44.1349415755748,40.9545413458103,52.1366127644155,54.8651685393258,70.887881511587,53.7264870435483,57.2379270049189,45.9310708633726,48.3740079365079,59.4693821003048,48.8026474127557,45.2509501453163,59.4483516483516,50.9615384615385,69.3555199533935,54.6376872817393,54.4617586912065,42.0306748466258,36873,2013
"53","łódzkie",528825.079298039,415319.262233603,5675,3622,5932,11734,2228,290,85162,100133,100023,7812,11046,8782,5612,13094,3114,204,28622,13545,20972,6086,43.6378292248571,38.0960795140806,35.9069453809845,38.3065759078002,54.491503908021,37.8965517241379,69.2658146370734,52.4151392161938,58.2492826649871,43.6762591103703,47.6952441306053,54.2347984513778,49.6795557139463,45.5003563973321,52.0006422607579,50.0122549019608,67.0154426664803,54.2514849491594,54.5371924470723,37.0657246138679,100133,2013
"54","małopolskie",591302.831560591,222007.972661482,8892,2296,2044,14063,2325,688,136790,150540,150412,7288,13516,9694,2317,12677,4401,834,43295,17092,29688,8821,46.0641169207799,42.1742160278746,36.5518590998043,40.2715137504331,55.1736722059303,43.7936046511628,70.2731954686985,54.5246302500189,60.4277717203415,47.7189258939206,48.5910525796587,59.5538477408706,51.0422960725076,47.1335226525729,56.1781413315156,48.0215827338129,67.2235593024599,61.4517956300662,57.1170843438426,46.1845595737445,150540,2013
"55","mazowieckie",643022.160559537,499325.588407215,14948,6064,10357,22786,5370,927,198588,221473,221173,20346,18215,15141,12904,24973,7728,1723,60214,24673,42324,17022,46.5308103553311,39.6329155672823,33.9503717292652,40.3206709607056,53.8722419728006,39.1348435814455,70.5282457414654,51.2817620011273,60.2178656526791,46.9514630927507,50.1030286393998,56.471721374634,47.8864434800579,52.3726291061013,57.5957556935818,55.2510156703424,70.195037698874,60.9270162820603,58.7033361686041,42.7654799671014,221473,2013
"56","opolskie",422175.452535162,309357.889258931,3563,1132,2890,4716,1144,196,30845,37164,37096,4197,3382,2359,1515,2391,913,105,8641,4256,5426,2161,46.5290425830492,37.7791519434629,37.2463667820069,41.8358507931352,52.7848414212051,48.5408163265306,70.0035066709452,51.9645573891618,56.4369743368557,45.2128926943764,48.4580130100532,53.9430549667938,43.6127612761276,44.0471211487523,56.3877327491785,48.5714285714286,52.1663001967365,53.80745898838,53.1776631035754,40.7709393799167,37164,2013
"57","podkarpackie",727321.102662393,236412.632310518,8140,2431,5895,15311,2867,1430,92619,101229,101143,10803,9510,7248,3092,9425,2242,565,23637,8383,17916,5337,46.3236447279,42.386672151378,37.1810008481764,40.4159434810462,55.3758724320287,44.0111888111888,67.7652202979465,53.1867537157523,59.1197018083308,45.1702738207078,49.8301787592008,57.2877575423105,51.2079560155239,47.5329796640141,54.5263157894737,55.3318584070796,66.0497525066633,57.2874757355254,58.0708863585622,43.9216788457935,101229,2013
"58","podlaskie",761999.586861065,606650.468895193,3899,1416,2796,7275,1366,324,51731,58901,58834,5427,5623,4102,3025,8031,1142,755,14731,6026,11010,4179,45.1621528706215,41.1963276836158,33.6645207439199,38.3739124076917,56.6854489255661,47.5246913580247,69.1416625802473,52.0322465043268,59.8956385763334,45.3683121037837,46.5122413895311,59.89232894523,46.8071625344353,46.671647366455,56.7758318739054,44.7019867549669,65.1578983096871,55.8907612467188,56.6594005449591,43.1160564728404,58901,2013
"59","pomorskie",433888.002780233,699315.112450165,6057,1933,2201,11153,3854,435,76960,88525,88358,8164,6383,4871,2083,6247,1972,477,23108,8519,14622,3530,44.827331836911,41.6585618210036,37.2448886869605,42.6209148955247,55.15927306275,54.551724137931,71.0750350036064,53.0760435668654,57.89764367686,48.0704077058597,51.0893519243825,56.7303086293027,53.1989118258921,46.6754708926952,52.1795131845842,59.3081761006289,69.5460446598581,57.0030626727422,56.8384625906169,42.5257790368272,88525,2013
"60","śląskie",499480.921145263,273446.448843197,14097,3841,6496,20046,4935,1188,162034,176382,176160,10315,14496,10886,3138,9615,4338,890,41330,14379,27040,6575,47.3732905295981,41.7058057797449,39.9230295566502,43.0784727042695,54.8872719085485,49.5942760942761,70.2448566476222,52.1053735641959,58.121151226158,49.4656614515114,50.5333655261221,54.5589135893196,51.5678776290631,49.4926330386549,55.88612263716,52.0926966292135,67.4281877570772,57.4306596109225,53.8420118343195,44.2454752851711,176382,2013
"61","świętokrzyskie",624746.459810221,323304.077470651,4592,1547,1857,6239,1134,510,51247,58012,57917,4183,5531,4253,1835,4020,1599,260,10737,4684,9627,3158,49.3814404329454,42.7524240465417,38.380183091007,39.8205522570788,53.6849981294426,41.3333333333333,64.8953069627172,50.6073067827532,58.2336101662724,45.9196545287155,52.194901464473,58.2337957520182,48.2742960944596,48.6388888888889,54.2914321450907,52.1153846153846,65.4006705783738,58.2883704681314,56.1763789342474,42.0848638378721,58012,2013
"62","warmińsko-mazurskie",619853.94638317,667542.454595626,4562,1788,2417,12613,2251,405,49622,58258,58164,8755,5187,3781,1938,5025,957,300,11726,5692,7942,2887,46.8262333616275,40.4709172259508,37.4447662391394,40.0336700904673,52.6679500468927,49.6641975308642,68.5546609922031,48.620767081751,57.1236847534557,43.7731630557615,44.8618340723604,54.3590760821652,48.0022359821121,45.8059701492537,51.2852664576803,53.4166666666667,67.5300187617261,48.9023669584105,57.1631830773105,38.7384828541739,58258,2013
"63","wielkopolskie",380773.294972023,497126.450255601,12508,4836,6800,21406,4263,1187,111747,139803,139610,9882,12772,8468,5396,16689,4015,1146,27570,15586,21907,3644,45.5798501724854,42.9590570719603,38.7397058823529,40.9533218962271,52.6996448178714,47.4793597304128,69.1752214322331,51.8815568857413,56.8121194756823,45.1084499218437,46.0646988203362,56.5952212250039,48.4105510254509,44.9642479078035,54.9633872976339,53.1915357766143,67.0651795429815,55.1564340958669,51.2327566531246,36.751372118551,139803,2013
"64","zachodniopomorskie",270787.940195897,640902.765012328,6815,2058,4400,13019,2141,582,51182,62521,62258,8579,4609,3344,1304,3001,909,199,11119,4756,6325,1697,47.5571720703704,43.3741496598639,45.0195454545455,42.2900735912978,54.1533975910436,53.2680412371134,70.2328784274446,50.7394704568454,54.8732050499534,46.053822669408,50.6545165256382,56.3232655502392,53.3333333333333,48.0384316338998,58.1716171617162,57.0100502512563,70.9136613004767,54.6195236638887,53.7018181818182,46.6988803771361,62521,2013
"65","dolnośląskie",318758.734783317,361175.05019965,9932,2560,7667,11280,3543,505,79989,96428,96203,0,9730,7234,8174,6162,3430,785,26858,12592,19816,4483,36.4329615297064,42.91796875,33.0288248337029,44.4398610508033,45.6766276225421,42.0286926651849,71.4863793771644,50.1091277738102,46.3826699791067,NA,48.7877697841727,45.4596350566768,40.5460402903515,51.3250567997403,50.6472303206997,53.3630573248408,63.0258396008638,57.5812925955874,37.0730722648365,42.393040374749,96428,2014
"66","kujawsko-pomorskie",465842.300547998,578593.47460022,7822,2052,2746,8381,2587,988,68410,77729,77599,0,6747,5095,2255,4423,1253,840,15507,5482,10085,1865,36.9242826809556,49.1276803118908,38.8849235251275,45.3187360136752,52.034612163381,46.8561513674296,67.3360327437509,47.5651544711998,47.7875230350907,NA,51.5406847487772,51.2358521426235,50.750184774575,53.677745120205,60.4277733439745,57.9047619047619,66.9211323918231,57.7771052369739,45.1262270699058,46.6680965147453,77729,2014
"67","lubelskie",772477.095961581,379460.89267258,7364,2401,3919,12043,2106,587,82922,92529,92451,9019,9180,6970,4440,11118,2260,477,25861,9310,18649,5745,37.5519566398224,46.5064556434819,38.2281194182189,44.0130349241748,49.457403450459,38.7616034488753,67.7936856322809,48.5195729724472,48.9856464505522,50.9323526875362,54.3603848946986,52.9500239120038,52.2391141141141,52.7651855849373,53.6389380530973,47.6687631027254,61.5062449247902,58.076847964066,43.0227894257065,46.756135770235,92529,2014
"68","lubuskie",250102.573357138,487061.730677329,3622,1283,2172,4013,995,350,24884,35402,35301,50,3279,2544,1625,2869,885,260,7644,3249,5037,1322,39.673612945046,46.2525331254871,39.0322283609576,47.3268001444286,49.4399078726968,41.5160349854227,71.9416090660665,49.4634216726189,46.7680802243562,47,51.7789976618888,52.0984014675052,49.9641025641026,50.3497153479726,56.8135593220339,49.2692307692308,64.8473312401884,55.025322476846,39.3174508636093,42.7821482602118,35402,2014
"69","łódzkie",528825.079298039,415319.262233603,6148,3391,4799,10214,2286,343,80313,92462,92340,0,10433,9336,5703,11318,2978,236,29758,12955,20901,4742,36.7974031851999,41.9156590976113,35.1831631589915,45.2741934839336,48.6106554389035,38.2340691378592,70.2214087383114,47.8125710664483,49.1882824344813,NA,55.331000990447,49.1339974293059,48.8470980185867,50.9552630028863,52.6501007387508,39.4322033898305,62.9292291148599,57.5604364759131,40.7285775800201,42.5018979333614,92462,2014
"70","małopolskie",591302.831560591,222007.972661482,9799,2420,1813,11209,2224,316,129786,140447,140298,5670,13625,9828,2212,10217,3997,885,46204,15536,29902,7226,38.2459168415588,45.6404958677686,36.4081632653061,47.3089226769305,49.7189748201439,42.5406871609403,70.1169232428767,50.5828783349841,50.0923035253532,52.4273956496179,52.8585932721713,54.1044295210962,50.8845690174804,53.2755864408992,54.7185389041781,52.3728813559322,63.1725608172453,63.2735698904597,44.61413952244,47.9299750899529,140447,2014
"71","mazowieckie",643022.160559537,499325.588407215,16332,6063,8890,19996,5101,825,193116,213283,212866,18411,18567,15828,12780,23730,6839,2227,64805,23323,42008,13418,38.1180185072783,45.9313871020947,35.1444319460067,46.9445930002327,48.8335620466575,37.8849721706865,69.956544253195,47.5309799655856,49.7798239267896,51.9993482157406,54.810057270067,50.4223527925196,47.6142410015649,56.027180783818,59.7634157040503,54.8226313426134,68.6413394028239,62.0810319894914,44.0835555132356,48.1447309584141,213283,2014
"72","opolskie",422175.452535162,309357.889258931,4062,1105,1957,4182,1232,261,29033,34249,34153,0,3219,2412,1400,1875,796,159,8604,3471,5107,1549,37.8267291760324,42.9085972850679,36.1972406745018,46.5971754555481,44.7832115800866,37.5087966220971,71.0710915165501,49.3063518129943,46.0110678417709,NA,51.40519830175,46.0392482034273,41.7797619047619,52.7111111111111,53.6005025125628,46.3396226415094,62.6251743375174,55.5112490505749,38.2271392206775,43.6036152356359,34249,2014
"73","podkarpackie",727321.102662393,236412.632310518,8357,2145,4918,12443,2651,1197,86325,93611,93503,9545,9075,7424,3197,7903,1593,683,24652,7502,17027,3942,39.0830909781438,45.2195804195804,37.0207401382676,45.8264379447833,50.2369388909845,40.7873425059247,67.3388705473501,47.1799629692399,49.2594034416008,50.9417379663582,56.6183654729109,50.3237248563218,49.1966426858513,52.2999704753469,55.0194601381042,50.00878477306,61.5996268051274,57.4892149972129,43.9077935044341,46.6590563165906,93611,2014
"74","podlaskie",761999.586861065,606650.468895193,4141,1396,2274,6184,1513,322,48462,54270,54153,4318,5850,4239,2987,7729,1210,685,15181,5372,10374,3125,36.8457524437491,44.3452722063037,35.1064204045734,43.1145550069963,49.9924267459793,34.9347192293066,69.7080186537906,48.5749182017839,48.98709212786,52.3359580052493,49.2065527065527,51.702445545333,51.3781943979467,48.4612067106568,52.3471074380165,51.3722627737226,61.2397075291483,64.0619711636093,42.3907846539425,43.1904,54270,2014
"75","pomorskie",433888.002780233,699315.112450165,7048,2157,1896,10045,3539,555,72076,82572,82394,0,5936,4723,2158,4484,1741,662,23331,8001,13987,2718,37.2427577357746,47.5178488641632,35.8829113924051,47.0326388395079,49.440166713761,43.5374149659864,70.4251345801654,48.0002382850806,47.7793285918878,NA,53.3375449236298,51.9295645423107,49.8254556688292,52.2413024085638,50.0459506031017,56.809667673716,68.009043761519,56.2602970083285,41.8531493529706,44.579102281089,82572,2014
"76","śląskie",499480.921145263,273446.448843197,14746,3614,5131,14606,3982,1110,148579,159696,159487,0,13039,10170,3148,6929,3632,1130,41286,12986,25862,5740,39.8149240177145,45.8826784726065,37.5455076983044,50.0018164187488,51.4259480160723,40.9082551939695,70.3348656270402,49.0112802161946,47.4024591346003,NA,57.1682388731242,49.4963946247132,51.3045319779754,54.9555010343003,51.8816079295154,50.4336283185841,64.7332025383907,59.531068423337,40.7816874178331,49.1407665505226,159696,2014
"77","świętokrzyskie",624746.459810221,323304.077470651,4953,1459,1588,5241,963,420,49191,54055,53993,0,5524,4765,1705,4191,1395,195,11765,4389,9493,2465,41.0243243005995,45.8903358464702,41.4496221662469,48.7989128106881,48.2509086188993,41.6666666666667,66.1268524730134,45.3915306482137,49.7066286370455,NA,57.7111996138064,50.3571178733823,46.969696969697,53.5476815398075,54.2508960573477,42.6153846153846,62.0664683382915,60.7935127073883,41.4463288739071,45.8012170385396,54055,2014
"78","warmińsko-mazurskie",619853.94638317,667542.454595626,5193,1931,1968,10136,2055,556,47487,55142,55058,7764,4987,3822,1989,4653,917,340,12808,4826,8304,2003,36.3737975033281,45.4396685655101,37.6493902439024,44.9642011500733,45.6452757502028,40.1886653942152,68.486764798787,45.373370178419,45.5727414726289,50.969717785792,51.8110420426442,48.3874062445491,46.8635830400536,49.6611505122143,50.9334787350055,50.0882352941176,63.8009056839475,55.8838488490374,40.221098265896,43.4947578632052,55142,2014
"79","wielkopolskie",380773.294972023,497126.450255601,13185,5192,4849,17493,3936,1066,105023,128590,128427,209,12172,8824,5980,14313,3695,1300,28639,14437,21892,2841,37.8915434205537,48.7858243451464,35.7009692720148,46.9180091861818,48.9660082147696,44.8366964046407,69.852889367091,48.0134851392336,46.4160495845889,50.6166932482722,49.7973491072407,48.7917422181928,45.1588628762542,50.7259135052051,54.148849797023,53.0523076923077,63.6357763888404,53.955745023834,37.3072355198246,40.9243224216825,128590,2014
"80","zachodniopomorskie",270787.940195897,640902.765012328,7602,1995,2659,11444,2033,645,47903,57982,57736,496,4284,3520,1558,2232,875,195,11812,4669,5994,1596,39.9071182640724,52.2666666666667,41.393004889056,47.7077374116371,50.3991433021807,41.2118335706376,70.2415088825335,47.1417271156846,44.5376541499238,50.5958781362007,56.6242608154373,52.9000946969697,55.749893025246,53.9911887694146,58.2811428571429,48.0923076923077,66.6147138503217,54.8248602971242,42.5492158825492,48.3684210526316,57982,2014
