"","wojewodztwa","Longitude","Latitude","licz_biologia_podstawowa","licz_chemia_podstawowa","licz_fizyka_podstawowa","licz_geografia_podstawowa","licz_historia_podstawowa","licz_informatyka_podstawowa","licz_j_angielski_podstawowa","licz_j_polski_podstawowa","licz_matematyka_podstawowa","licz_WOS_podstawowa","licz_biologia_rozszerzona","licz_chemia_rozszerzona","licz_fizyka_rozszerzona","licz_geografia_rozszerzona","licz_historia_rozszerzona","licz_informatyka_rozszerzona","licz_j_angielski_rozszerzona","licz_j_polski_rozszerzona","licz_matematyka_rozszerzona","licz_WOS_rozszerzona","sr_biologia_podstawowa","sr_chemia_podstawowa","sr_fizyka_podstawowa","sr_geografia_podstawowa","sr_historia_podstawowa","sr_informatyka_podstawowa","sr_j_angielski_podstawowa","sr_j_polski_podstawowa","sr_matematyka_podstawowa","sr_WOS_podstawowa","sr_biologia_rozszerzona","sr_chemia_rozszerzona","sr_fizyka_rozszerzona","sr_geografia_rozszerzona","sr_historia_rozszerzona","sr_informatyka_rozszerzona","sr_j_angielski_rozszerzona","sr_j_polski_rozszerzona","sr_matematyka_rozszerzona","sr_WOS_rozszerzona","maturzysci","rok"
"14","warmińsko-mazurskie",619853.94638317,667542.454595626,5936,1641,2103,11476,2562,263,46742,58333,58260,7556,5336,3809,2165,5554,1958,135,6712,4931,7511,4051,50.1944656041252,49.963436928702,38.971537259697,47.9531195538515,58.007933852698,43.4068441064639,65.0829232809893,54.9024450023884,59.991658084449,56.9674430915829,52.5387306346827,64.0662466089087,59.7998460354119,47.5864241987757,50.661899897855,42.1481481481481,68.2815852205006,56.67668368946,49.9052056983091,52.2957294495186,58333,2010
"15","wielkopolskie",380773.294972023,497126.450255601,13318,3995,6048,19985,5867,948,110323,147771,147606,10183,12856,8854,6043,13316,5436,524,16109,14004,19279,6131,48.7274496105304,51.6430538172716,39.8863513659432,47.6942707030273,55.3316196088116,39.4514767932489,64.6229254099326,53.6613719511582,60.0620164491958,55.8888343317294,51.4034951254926,63.4355470220616,57.8545424458051,48.4415990788024,52.0058866813834,48.9961832061069,68.2466943944379,54.8169678793072,45.9484413091965,47.5671179252977,147771,2010
"16","zachodniopomorskie",270787.940195897,640902.765012328,7300,1274,2912,11206,3255,340,49462,63967,63846,9557,4816,3376,2376,3522,1571,228,7047,4789,6048,2990,50.3886241810602,52.116169544741,44.1894202736039,49.7781545600571,57.6795510831061,40.2058823529412,66.0136468399984,53.875266765507,58.5569025467531,56.8029716438213,54.7916666666667,64.0378159557662,63.1390291806959,50.8683513155404,56.8898790579249,54.9561403508772,70.5108556832695,52.5522504223694,51.8462301587302,52.5471571906355,63967,2010
"17","dolnośląskie",318758.734783317,361175.05019965,8146,1909,7822,13447,4218,488,84474,108805,108426,11269,10669,7689,9743,7754,4625,320,18341,13886,19755,8429,45.5479171781652,38.3918281822944,40.9486064945027,42.4444872765794,47.407611693326,41.344262295082,73.9476051802922,52.0444584099747,49.247560548208,50.2417173700841,53.7519917518043,50.0416178956951,41.6815491463957,45.9117874645344,48.5716756756757,60.15625,69.9784635516057,50.2918243358255,42.3169830422678,42.3191363151026,108805,2011
"18","kujawsko-pomorskie",465842.300547998,578593.47460022,7005,1630,2540,11575,2752,637,65989,79938,79848,7452,6719,4879,2534,4919,1628,500,8416,6216,9871,3909,50.4000118962646,45.4920245398773,41.4645669291339,45.3015383259135,55.9151785714286,57.4662480376766,72.3971874100229,51.7473170085194,51.1118625388238,53.4108147214637,54.4718956193878,53.7664822026371,51.4410681399632,52.7881683268957,54.9914004914005,63.9,72.3779705323194,57.0989820989821,48.007901934961,46.7137375287797,79938,2011
"19","lubelskie",772477.095961581,379460.89267258,7635,1645,3678,17619,2818,338,89513,106566,106506,12711,10411,7803,4532,12829,3151,313,16679,11341,18454,11618,46.3817943680419,41.3227963525836,42.1663947797716,41.3581812769378,51.7674280499993,47.3668639053254,71.9108732809759,52.3700069643429,50.7017820592267,49.0929629591624,54.3450837255467,53.0629245162117,50.8770962047661,47.8001662899161,51.52269120914,50.9329073482428,69.5554889381857,55.7378297568757,45.730573317438,47.1613014288174,106566,2011
"20","lubuskie",250102.573357138,487061.730677329,3373,846,2395,5092,1526,367,25140,37290,37250,4359,3333,2690,2080,3114,1015,245,4898,3136,5317,2018,48.787553117897,46.1182033096927,41.4989561586639,46.2598393638681,51.2363923288844,47.4386920980926,74.4540175019889,52.0224246772919,51.2087516778523,52.6439550355586,55.3635363536354,54.4485749690211,44.5032051282051,49.0746092913723,54.6995073891626,45.4285714285714,71.1935483870968,52.4227446660482,44.0338536768855,48.6521308225966,37290,2011
"21","łódzkie",528825.079298039,415319.262233603,6072,2707,4559,12044,2333,207,82960,101540,101430,7876,11173,9427,7346,13630,4551,110,22990,14904,20928,9704,47.4462697628459,41.3520502401182,39.4507567449002,43.4491897057727,48.9214202612035,44.231884057971,73.9379701060752,51.4004466353294,52.0032731933353,50.8916742111423,54.4245055043408,50.8769138290725,47.6642617297395,46.6738811445341,46.2724675895408,46.7272727272727,69.5075250108743,51.2051371199922,45.0416666666667,38.2813272877164,101540,2011
"22","małopolskie",591302.831560591,222007.972661482,9690,2047,1334,18241,3225,450,136230,154529,154421,9294,12948,9844,2803,13702,5034,515,29028,17013,27227,11249,49.2096663226694,41.8270639960918,40.5622188905547,46.5107198517804,51.6506881822496,44.3333333333333,73.8397049108126,54.5852059956209,52.3831603214589,52.7163387318607,54.4264236432911,55.4764323445754,50.5868712094185,49.5985987447088,53.6221692491061,57.7087378640777,70.4970028937578,57.9009099993053,47.2862232342895,48.2540670281803,154529,2011
"23","mazowieckie",643022.160559537,499325.588407215,12234,4023,11283,24583,5601,697,181488,212314,212056,20337,17055,14962,14543,25001,9315,875,42388,21929,41142,22501,49.4799329736799,41.5550584141188,44.1042275990428,44.3942097035698,52.8480701332488,41.0846484935438,74.6489189367892,54.14858512723,53.6886860074697,52.5715605097584,56.7903840515978,53.2656062023794,47.4960462077976,53.2899350692639,52.3297906602254,56.8342857142857,72.3940737944701,52.8481379990797,49.78887754606,48.2933202968757,212314,2011
"24","opolskie",422175.452535162,309357.889258931,4094,980,2483,5350,1610,239,32241,40837,40743,4447,3415,2511,1586,2714,1122,62,5803,4314,5360,3290,49.443290994952,38.3,37.5392670157068,43.8039290482548,49.3541640258588,37.3389121338912,72.2920815111194,49.1444232145067,48.3844586800187,49.6245637019583,54.0405075646657,46.8047258728262,46.1118116855822,46.9559076394006,53.0766488413547,58.3225806451613,68.3670515250732,47.9896320647364,42.2608208955224,41.7003039513678,40837,2011
"25","podkarpackie",727321.102662393,236412.632310518,8461,1726,4322,16206,3506,869,96750,108522,108488,12223,8802,7016,3984,9494,3093,459,16204,8481,17350,7499,47.7792715597053,44.1332560834299,41.1434521055067,45.1306772246107,52.6255282489493,46.7157652474108,71.1000103359173,50.9182469913935,51.1563122188629,51.3646760028314,55.743202302507,52.4660300266058,49.4565763052209,50.3930552629731,52.8419010669253,52.875816993464,70.038015304863,54.2981102142758,47.1719884726225,47.9282571009468,108522,2011
"26","podlaskie",761999.586861065,606650.468895193,4386,1299,2430,8742,1624,300,49338,57560,57521,5225,4940,4060,2950,7993,1508,495,10741,5551,10854,6045,48.0430156558748,39.9830638953041,41.2757201646091,42.3657314676042,51.652508293958,39.9666666666667,74.2692650695204,54.8303063313487,53.2758818518454,50.2101102558768,55.7236842105263,56.7426108374384,48.8813559322034,49.1997164185329,54.0305039787798,53.3131313131313,69.2676659528908,58.8006256039043,47.4580799705178,45.4722911497105,57560,2011
"27","pomorskie",433888.002780233,699315.112450165,6188,1614,1785,12588,4909,340,71231,85110,85038,8652,6045,5050,2611,6151,2428,390,16670,8822,14993,5370,48.5071913380737,41.0731102850062,37.9025210084034,44.6199166034383,51.6747664639292,49.1176470588235,75.5519085791299,52.1859152067118,52.2019802911639,51.6818177249794,57.8982630272953,53.1564356435644,49.7165836844121,48.3401072996261,48.8023064250412,55.0769230769231,72.4628074385123,56.6347560849941,45.5548589341693,45.0465549348231,85110,2011
"28","śląskie",499480.921145263,273446.448843197,13592,2778,4595,21038,5500,714,162482,182803,182567,11423,13436,11343,3799,9348,5630,545,28443,16654,26235,9432,52.2137715813223,44.3225341972642,44.9719260065288,48.201893172898,54.0239332096475,50.2605042016807,73.2349860292217,50.0375903109994,51.1900069563503,55.2230625473397,59.1073732261586,52.1700608304681,50.1640782662104,53.1470189701897,52.3222024866785,62.1651376146789,71.0760468305031,54.5307160714871,45.4763483895559,48.3273960983885,182803,2011
"29","świętokrzyskie",624746.459810221,323304.077470651,4938,1318,1559,7356,1486,426,52571,60253,60183,5041,5359,4450,1915,4424,2035,195,7925,4495,9419,4454,52.4828709329013,40.3262518968134,48.2424631173829,44.2673480485179,53.4594995467905,38.5258215962441,69.8479770215518,50.0654447619744,51.6454480501138,51.4405785601546,59.7981588604839,49.814606741573,48.964316797215,50.8668625678119,53.7739557739558,55.6923076923077,69.3193690851735,52.4507028010921,46.5985773436671,43.2945666816345,60253,2011
"30","warmińsko-mazurskie",619853.94638317,667542.454595626,4840,1449,2068,13000,2501,384,48084,58443,58368,8970,4850,3715,2015,5558,1249,170,8790,5350,8565,4269,48.3987603305785,44.1863354037267,39.8771760154739,43.2445839874411,51.3141682102669,50.125,73.1960943349139,51.2807119526487,50.8920641447368,49.9224468033542,52.9175257731959,50.2198295199641,49.8180314309347,49.542701211467,46.5652522017614,53.2352941176471,69.6534698521047,54.5467289719626,45.4531231757151,42.1368001873975,58443,2011
"31","wielkopolskie",380773.294972023,497126.450255601,12139,4265,5612,21159,4802,1197,110313,144691,144510,12072,12714,8682,7019,13785,5242,703,18789,15866,22111,6056,48.5650589010627,44.2091441969519,38.5808980755524,45.6421786068745,50.9713214731957,44.7385129490393,72.9729678279079,51.2647829008211,50.1073005328351,51.304131731351,53.4758271721462,53.0083314136528,46.1091323550363,47.8181598355701,50.5448302174742,55.5448079658606,70.4837404864548,50.9353907154235,40.3050970105377,42.2295244385733,144691,2011
"32","zachodniopomorskie",270787.940195897,640902.765012328,6701,1521,2504,11733,2633,406,49017,61795,61552,10826,4146,3246,2276,2721,1457,187,8226,4881,6407,2901,50.8642988608665,47.5765943458251,43.1317891373802,46.8921600857167,52.7566134695428,44.0098522167488,73.9956953709937,51.5654201009003,48.4730309331947,51.9406782383794,57.3235246824248,53.8036557814746,49.3241066198008,51.8197966433909,53.6582017844887,57.7540106951872,72.0951859956236,53.4768396938034,45.5726549086936,48.258531540848,61795,2011
"33","dolnośląskie",318758.734783317,361175.05019965,7819,2196,9720,14530,4279,375,79371,99692,99464,11708,10231,7080,8491,7711,3927,415,22925,13406,18948,7383,37.4376518736411,47.391621129326,33.9592256655749,48.3534067446662,49.8375788735686,33.6598639455782,72.441987627723,53.6132639882188,59.3920011260356,41.3002861291425,50.3461701365132,48.3145009416196,37.4957798453264,50.1657804867505,50.3284950343774,60.7951807228916,62.9895310796074,54.7624537181452,45.0883470550982,34.6319924150075,99692,2012
"34","kujawsko-pomorskie",465842.300547998,578593.47460022,6509,1639,3151,9432,2444,790,63954,74934,74815,7662,6976,5048,2730,5607,1510,558,12465,6079,10064,3270,41.2870640651406,53.9963392312386,36.313059022403,54.0186775515974,58.6096563011457,50.4520795660036,70.8285486443381,52.2914038227514,61.6631156853572,44.32344688071,53.2124426605505,52.2187004754358,44.539072039072,54.4408774745853,57.3907284768212,59.15770609319,65.9374247894103,58.7293813276705,51.7148251192369,39.3363914373089,74934,2012
"35","lubelskie",772477.095961581,379460.89267258,6858,1828,4731,14715,2668,485,83951,96641,96607,11899,9873,7298,4601,12801,2635,328,22664,10234,18584,9965,37.9176995236706,47.8369803063457,35.4319533774195,49.7713500962736,54.3823088455772,33.3936461182411,70.3666662696097,53.1041047152221,61.5791816328009,41.2356080342886,52.6300685370877,52.8624280624829,44.7326668115627,51.3789287295263,52.3286527514231,50.3475609756098,62.0117366749029,59.5683728036669,50.1826302195437,38.3809332664325,96641,2012
"36","lubuskie",250102.573357138,487061.730677329,3183,869,2638,4772,1406,439,25345,37707,37585,4661,2921,2164,1952,2916,877,175,6158,3379,4858,1985,39.6415855063357,56.3429228998849,35.3158700932989,54.544303576418,57.3790896159317,41.532239319418,71.9426711382916,52.9337157987011,59.439137953971,42.6803976256883,53.4622846057286,56.8815465187924,43.6859631147541,55.4721079103795,58.6955530216648,51.4285714285714,66.0328028580708,57.447738706987,48.0996294771511,42.5944584382872,37707,2012
